id;start_datetime;end_datetime;duration;p1_q_mid_promag_high_resolution;waterpilot_high_resolution;v4_valve_opening;description_short;description_detailed;initial_conditions;env_lighting;env_wind_level;sensor_comments;hydraulic_network_comments;experiment_quality
1;05.10.16 11:05;05.10.16 11:19;00:14:00;no;no;4;Single peak;45 sec on level 6;Pipes p3 and p4 full;overcast;1;nivus US level offset by -5mm;;insufficient
2;05.10.16 11:20;05.10.16 11:41;00:21:00;no;no;4;Single peak;45 sec on level 6;Pipes p3 and p4 full;overcast;1;nivus US level offset by -5mm;Bad - valves not configured correctly;insufficient
3;05.10.16 11:43;05.10.16 11:49;00:06:00;no;no;4;Single peak;25 sec on level 8;Pipes p3 and p4 full;overcast;2;;;insufficient
4;05.10.16 13:30;05.10.16 13:36;00:06:00;no;no;4;Single peak;15 sec on level 6;Pipes p3 and p4 full;direct sun;3;nivus US level offset by -5mm;;insufficient
5;05.10.16 13:37;05.10.16 13:50;00:13:00;no;no;4;Double peak;15 sec on level 6, wait until overlow stops, then 25 sec on level 6;Pipes p3 and p4 full;direct sun;3;nivus US level offset by -5mm;;insufficient
6;05.10.16 13:51;05.10.16 14:50;00:59:00;no;no;4;Double peak;15 sec on level 6, wait until overlow stops, then 20 sec on level 8, then slowly close over 20 sec, then wait , the 10 sec on level 6, and close over 10 seconds;Pipes p3 and p4 full;"overcast; direct sun";2;nivus US level offset by -5mm;;insufficient
7;05.10.16 15:12;05.10.16 15:30;00:18:30;no;no;8;Long event;3minutes total on levels 6 and 8, plus ramps;Pipes p3 and p4 full;overcast;2;nivus US level reset to zero but data for nivus radar in channel c3 is missing;;insufficient
8;05.10.16 15:53;05.10.16 16:15;00:22:15;no;no;8;Two peaks to make dam overflow;;Pipes p3 and p4 full;"overcast; direct sun";2;;;insufficient
9;05.10.16 16:22;05.10.16 16:28;00:06:00;no;no;8;Single peak;15 sec on level 6;Pipes p3 and p4 full;evening sun;1;;;insufficient
10;05.10.16 16:32;05.10.16 16:37;00:05:00;no;no;8;Single peak;15 sec on level 6;Pipes p3 and p4 empty;evening sun;2;;;insufficient
11;05.10.16 16:43;05.10.16 16:52;00:09:00;no;no;8;Double peak;15 sec on level 6, wait until overlow stops, then 25 sec on level 6;Pipes p3 and p4 empty;evening sun;2;;;insufficient
12;05.10.16 17:10;05.10.16 17:32;00:22:00;no;no;8;Double peak;;Pipes p3 and p4 empty;dusk;3;;;insufficient
13;06.10.16 10:59;06.10.16 11:30;00:31:00;no;no;Variable;Flood event for photo shooting;;Pipes p3 and p4 empty;overcast;;no camera recording;variable valve configuration over the course of the experiment;insufficient
14;06.10.16 12:13;06.10.16 12:20;00:07:00;ok;no;8;Small event, empty sewers;"turn 0-6 in 10 sec; on 6 wait 15 sec; turn 6-0 in 15 sec";Pipes p3 and p4 empty;overcast;2;no pressure sensor measurement for m1_h_p_waterpilot and m2_h_p_waterpilot;;monitoring
15;06.10.16 12:27;06.10.16 12:34;00:07:00;ok;no;8;Two small events, empty sewers;"turn 0-6 in 10 sec; on 6 wait 10 sec; turn 6-0 in 5 sec;  on 0 wait 60 sec;  turn 0-6 in 5 sec; on 6 wait 15 sec; turn 6-0 in 10 sec";Pipes p3 and p4 empty;"overcast; direct sun";2;no pressure sensor measurement for m1_h_p_waterpilot and m2_h_p_waterpilot;;monitoring
16;06.10.16 12:35;06.10.16 12:40;00:05:00;ok;no;8;Small event, full sewers;"turn 0-6 in 10 sec; on 6 wait 15 sec; turn 6-0 in 15 sec";Pipes p3 and p4 full;direct sun;3;no pressure sensor measurement for m1_h_p_waterpilot and m2_h_p_waterpilot;;monitoring
17;06.10.16 12:46;06.10.16 12:52;00:06:00;ok;no;8;Two small events, full sewers;"turn 0-6 in 10 sec; on 6 wait 10 sec; turn 6-0 in 5 sec;  on 0 wait 60 sec;  turn 0-6 in 5 sec; on 6 wait 15 sec; turn 6-0 in 10 sec";Pipes p3 and p4 full;direct sun;3;no pressure sensor measurement for m1_h_p_waterpilot and m2_h_p_waterpilot;;monitoring
18;06.10.16 13:41;06.10.16 13:56;00:15:00;ok;no;8;simple dam overflow;"turn 0-7 in 10 sec; on 7 wait until overflow; turn 7-5 and wait 10 sec; turn 5-0 in 20 sec";Pipes p3 and p4 empty;direct sun;3;"no pressure sensor measurement for m1_h_p_waterpilot and m2_h_p_waterpilot; Now with additional temperature senor installed in shade, measuring air.";;monitoring
19;06.10.16 14:06;06.10.16 14:21;00:15:00;ok;no;8;Multiple big shots;"turn 0-8 in 10 sec; on 8 wait until dam overflow; turn 8-4 in 20 sec; turn 4-7 in 5 sec; on 7 wait 10 sec; turn 7-3 in 30 sec;  turn 3-6 in 5 sec; turn 6-0 in one minute (one notch every 10 seconds)";Pipes p3 and p4 empty;direct sun;3;no pressure sensor measurement for m1_h_p_waterpilot and m2_h_p_waterpilot;Bad - valves not configured correctly.;monitoring
20;06.10.16 14:32;06.10.16 14:48;00:16:00;ok;no;8;Multiple big shots;"turn 0-8 in 10 sec; on 8 wait until dam overflow; turn 8-4 in 20 sec; turn 4-7 in 5 sec; on 7 wait 10 sec; turn 7-3 in 30 sec;  turn 3-6 in 5 sec; turn 6-0 in one minute (one notch every 10 seconds)";Pipes p3 and p4 empty;"overcast; direct sun";2;no pressure sensor measurement for m1_h_p_waterpilot and m2_h_p_waterpilot;Repetition of previous experiment;monitoring
21;06.10.16 14:56;06.10.16 15:13;00:17:00;ok;no;8;simple dam overflow with pre-impulse;"turn 0-6 in 10 sec; on 6 wait 15 sec; turn 6-0 in 15 sec;  wait 60 sec;  turn 0-7 in 10 sec; on 7 wait until overflow; turn 7-5 and wait 10 sec; turn 5-0 in 20 sec";Pipes p3 and p4 empty;direct sun;2;no pressure sensor measurement for m1_h_p_waterpilot and m2_h_p_waterpilot;;monitoring
22;06.10.16 15:17;06.10.16 15:37;00:20:40;ok;no;8;Big with after shot;"turn 0-7 in 10 sec; on 7 wait until overflow; on 7 wait45 sec; turn 7-5 and wait 10 sec; turn 5-0 in 20 sec;  on 0 wait until dam has emptied;  turn 0-6 in 10 sec; on 6 wait 15 sec; turn 6-0 in 15 sec;";Pipes p3 and p4 empty;direct sun;3;no pressure sensor measurement for m1_h_p_waterpilot and m2_h_p_waterpilot;ultrasonic sensor at inlet storage attached with ropes after experiment;monitoring
23;06.10.16 15:50;06.10.16 16:09;00:19:00;ok;no;8;Slow event;"turn 0-4 in 20 sec; on 4 wait 5 minutes; turn 4-0 in 1 minute";Pipes p3 and p4 empty;"overcast; direct sun";1;no pressure sensor measurement for m1_h_p_waterpilot and m2_h_p_waterpilot;;monitoring
24;06.10.16 16:29;06.10.16 16:55;00:26:00;ok;no;8;Slow event with peak ;"turn 0-4 in 10 sec; on 4 wait 5 minutes; turn 4-8 in 10 sec; turn 8-0 in 1 minute";Pipes p3 and p4 empty;evening sun;2;16.46 hobo temp sensors storage full detected, 16:37 a plastic cone rolls in front of radar;;monitoring
25;06.10.16 17:00;06.10.16 17:06;00:06:00;ok;no;8;Small event, empty sewers;"turn 0-6 in 10 sec; on 6 wait 15 sec; turn 6-0 in 15 sec";Pipes p3 and p4 empty;evening sun;2;;;calibration
26;06.10.16 17:06;06.10.16 17:13;00:07:00;ok;no;8;Small event, full sewers;"turn 0-6 in 10 sec; on 6 wait 15 sec; turn 6-0 in 15 sec";Pipes p3 and p4 full;evening sun;1;;;calibration
27;06.10.16 17:16;06.10.16 17:23;00:07:00;ok;no;8;Two small events, empty sewers;"turn 0-6 in 10 sec; on 6 wait 10 sec; turn 6-0 in 5 sec;  on 0 wait 60 sec;  turn 0-6 in 5 sec; on 6 wait 15 sec; turn 6-0 in 10 sec";Pipes p3 and p4 empty;evening sun;1;;;calibration
28;06.10.16 17:27;06.10.16 17:50;00:23:00;ok;no;8;simple dam overflow;"turn 0-7 in 10 sec; on 7 wait until overflow; turn 7-5 and wait 10 sec; turn 5-0 in 20 sec";Pipes p3 and p4 empty;evening sun;1;;;calibration
29;06.10.16 20:14;06.10.16 20:23;00:09:50;ok;no;8;Small event, empty sewers;"turn 0-6 in 10 sec; on 6 wait 15 sec; turn 6-0 in 15 sec";Pipes p3 and p4 empty;Night + infrared;0;;;calibration
30;06.10.16 20:33;06.10.16 20:38;00:05:15;ok;no;8;Small event, empty sewers;"turn 0-6 in 10 sec; on 6 wait 15 sec; turn 6-0 in 15 sec";Pipes p3 and p4 empty;Night + flood light;0;;;calibration
31;06.10.16 20:55;06.10.16 21:11;00:16:00;ok;no;8;simple dam overflow with pre-impulse;"turn 0-6 in 10 sec; on 6 wait 15 sec; turn 6-0 in 15 sec;  wait 60 sec;  turn 0-7 in 10 sec; on 7 wait until overflow; turn 7-5 and wait 10 sec; turn 5-0 in 20 sec";Pipes p3 and p4 empty;Night + flood light;0;;;calibration
32;06.10.16 21:16;06.10.16 21:38;00:22:00;ok;no;8;Multiple big shots;"turn 0-8 in 10 sec; on 8 wait until dam overflow; turn 8-4 in 20 sec; turn 4-7 in 5 sec; on 7 wait 10 sec; turn 7-3 in 30 sec;  turn 3-6 in 5 sec; turn 6-0 in one minute (one notch every 10 seconds)";Pipes p3 and p4 empty;Night + infrared;0;;;calibration
33;07.10.16 11:16;07.10.16 11:36;00:20:40;ok;no;8;Big with after shot;"turn 0-7 in 10 sec; on 7 wait until overflow; on 7 wait45 sec; turn 7-5 and wait 10 sec; turn 5-0 in 20 sec;  on 0 wait until dam has emptied;  turn 0-6 in 10 sec; on 6 wait 15 sec; turn 6-0 in 15 sec;";Pipes p3 and p4 empty;overcast;1;;;calibration
34;07.10.16 11:51;07.10.16 12:11;00:20:00;ok;no;8;Multiple small, slow;;Pipes p3 and p4 empty;overcast;1;;;calibration
35;07.10.16 12:20;07.10.16 12:35;00:15:00;ok;no;8;small, empty pipes, manhole cover on overflow;;Pipes p3 and p4 empty;overcast;1;;manhole cover on manhole m2;monitoring
36;07.10.16 12:45;07.10.16 13:04;00:19:00;ok;no;8;Multiple big shots;"turn 0-8 in 10 sec; on 8 wait until dam overflow; turn 8-4 in 20 sec; turn 4-7 in 5 sec; on 7 wait 10 sec; turn 7-3 in 30 sec;  turn 3-6 in 5 sec; turn 6-0 in one minute (one notch every 10 seconds)";Pipes p3 and p4 empty;overcast;1;;"manhole cover on manhole m2; dam breached";insufficient
37;07.10.16 13:14;07.10.16 14:15;01:01:00;ok;no;8;Emptying of water tank;;Pipes p3 and p4 empty;overcast;1;;"Had to open valves so that more water can come out; manhole cover on m2";insufficient
